abalone 5 7 Global 4174 259,1 26,3405 73,6592 8,93627 8,98795 91,012 0,574988 0,161539 0,0159182 0,0132835 0 0 0
banana 5 2 Global 5300 18,1 61,151 38,849 41,3396 41,3474 58,6526 0,0188679 0,036144 0,0043335 0,0013248 0 0 0
bupa 5 6 Global 345 124,7 64,769 35,231 49,5652 50,8929 49,1071 2,6087 0,0041071 0,000983 0,000752 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0106545 0,003436 0,0027672 0 0 0
heart 5 5 Global 270 235,8 99,1748 0,825211 15,5556 61,7647 38,2353 74,8148 0,0037182 0,0015762 0,0011621 0 0 0
iris 5 4 Global 150 41,3 88,135 11,865 32,6667 32,8859 67,1141 0,666667 0,0011767 0,0001834 9,34e-05 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0045012 0,0007871 0,0004527 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0062779 0,0020824 0,0016179 0 0 0
newthyroid 5 5 Global 215 46,6 87,4984 12,5016 18,6047 18,7793 81,2207 0,930233 0,0018474 0,0002878 0,0001544 0 0 0
page-blocks 5 10 Global 5472 164,7 92,757 7,243 26,5534 26,6068 73,3932 0,201023 0,0652345 0,0201247 0,0169876 0 0 0
phoneme 5 5 Global 5404 222 76,4891 23,5109 54,9223 54,9223 45,0777 0 0,0535624 0,0214287 0,0179642 0 0 0
pima 5 8 Global 768 426,9 80,7644 19,2356 48,9583 50,6057 49,3943 3,25521 0,0096089 0,0058205 0,0052554 0 0 0
saheart 5 8 Global 462 354,8 87,8238 12,1762 49,7835 52,9954 47,0046 6,06061 0,0063186 0,0036904 0,0031281 0 0 0
shuttle 5 9 Global 57999 76,4 85,5958 14,4042 36,3713 36,3751 63,6249 0,010345 0,646475 0,141582 0,106718 0 0 0
adult 5 6 Global 45222 20219 88,3434 11,6566 64,504 81,9175 18,0825 21,2574 0,765293 0,111114 0,0711565 0 0 0
australian 5 7 Global 690 505,3 94,8815 5,11846 55,3623 81,7987 18,2013 32,3188 0,0101261 0,0013826 0,0008596 0 0 0
crx 5 6 Global 653 523,3 97,1488 2,8512 40,1225 87,0432 12,9568 53,9051 0,0107157 0,0013208 0,0008647 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,004563 0,000497 0,0001374 0 0 0
census 5 9 Global 142521 81161,4 98,6426 1,35745 48,1747 96,5152 3,48478 50,086 6,47622 0,923937 0,848908 0 0 0
coil2000 5 2 Global 9822 7469,6 98,4044 1,23171 24,5978 91,7585 8,24155 73,1928 0,815304 0,101072 0,0938092 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,79967 0,256371 0,206976 0 0 0
covtype_2_vs_1 5 10 Global 495141 23805,6 81,4831 18,5169 85,3203 85,324 14,676 0,00424122 24,4752 2,85078 2,74738 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,87057 0,255344 0,21335 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0184812 0,0024938 0,0018762 0 0 0
magic 5 10 Global 19020 1912,4 80,4682 19,5318 83,4648 83,5263 16,4737 0,0736067 0,304661 0,0381131 0,0263619 0 0 0
thyroid 5 6 Global 7200 931,3 91,6653 8,33466 92,2361 93,4825 6,51745 1,33333 0,12845 0,0141396 0,0097621 0 0 0
vehicle 5 18 Global 846 711,8 95,1793 4,82069 52,8369 64,2241 35,7759 17,7305 0,104636 0,0178526 0,0172543 0 0 0
vowel 5 11 Global 990 639,2 95,4882 4,51178 91,3131 91,7766 8,22335 0,505051 0,0257887 0,0039899 0,0025736 0 0 0
segment 5 19 Global 2310 880,3 94,5379 5,4621 89,6537 92,4967 7,50335 3,07359 0,129561 0,0172875 0,0158588 0 0 0
winequality-red 5 11 Global 1599 748,5 72,1463 27,8537 54,2214 55,0127 44,9873 1,4384 0,0457689 0,0057528 0,0048058 0 0 0
winequality-white 5 11 Global 4898 1187,4 56,5479 43,4521 47,8767 47,9746 52,0254 0,204165 0,171039 0,0180263 0,0150682 0 0 0
spambase 5 57 Global 4597 1417,7 86,61 13,39 80,7266 84,8811 15,1189 4,8945 0,368273 0,0497989 0,046523 0 0 0
penbased 5 16 Global 10992 7733,2 99,6715 0,328522 94,1139 99,0616 0,938428 4,99454 0,409762 0,0763678 0,0641289 0 0 0
ring 5 20 Global 7400 5041,2 98,4705 1,52953 54,7297 79,3962 20,6038 31,0676 0,899343 0,166932 0,161949 0 0 0
twonorm 5 20 Global 7400 6655,2 99,9354 0,0645646 34,4324 91,3589 8,64109 62,3108 1,18392 0,248447 0,243448 0 0 0
satimage 5 36 Global 6435 2014,7 79,9747 20,0253 64,1336 64,5247 35,4753 0,606061 1,79485 0,188911 0,184823 0 0 0
texture 5 40 Global 5500 3663,1 97,8485 2,15152 87,5818 93,4251 6,57486 6,25455 1,81215 0,199271 0,195301 0 0 0
letter 5 16 Global 20000 7842,5 78,4186 21,5814 73,6 73,766 26,234 0,225 1,32639 0,165459 0,146767 0 0 0
