abalone 5 7 Global 4174 201,7 27,1022 72,8978 8,48107 8,50757 91,4924 0,311452 0,125439 0,0143604 0,0117433 0 0 0
banana 5 2 Global 5300 18,1 61,151 38,849 41,3396 41,3474 58,6526 0,0188679 0,0348966 0,0041353 0,0012652 0 0 0
bupa 5 6 Global 345 128,7 68,2975 31,7025 49,2754 50,7463 49,2537 2,89855 0,0038594 0,0009622 0,000756 0 0 0
flare 5 0 Global 1066 246,7 83,203 12,3284 12,2889 17,6075 82,3925 30,2064 0,0106139 0,0035116 0,002855 0 0 0
heart 5 5 Global 270 235,8 99,5383 0,461701 9,62963 38,2353 61,7647 74,8148 0,0035564 0,0014495 0,0011424 0 0 0
iris 5 4 Global 150 42 89,3366 10,6634 32,6667 32,8859 67,1141 0,666667 0,0012259 0,0001841 9,71e-05 0 0 0
led7digit 5 7 Global 500 67,9 77,2 18,008 7,2 11,1801 88,8199 35,6 0,0044412 0,0007906 0,0004614 0 0 0
mammographic 5 1 Global 830 159 86,9836 13,0164 48,1928 52,0156 47,9844 7,3494 0,0066451 0,0022982 0,0017731 0 0 0
newthyroid 5 5 Global 215 46,7 91,1658 8,83421 19,5349 19,7183 80,2817 0,930233 0,0018352 0,000291 0,000159 0 0 0
page-blocks 5 10 Global 5472 165,1 93,2922 6,70779 41,6301 41,714 58,286 0,201023 0,0587 0,0198043 0,0166788 0 0 0
phoneme 5 5 Global 5404 221,9 77,7748 22,2252 62,8053 62,8053 37,1947 0 0,0494392 0,0212616 0,0180916 0 0 0
pima 5 8 Global 768 422,1 83,3899 16,6101 49,349 51,0094 48,9906 3,25521 0,0094 0,0058254 0,0053114 0 0 0
saheart 5 8 Global 462 354,9 89,7591 10,2409 49,5671 52,765 47,235 6,06061 0,0060106 0,0037527 0,0032843 0 0 0
shuttle 5 9 Global 57999 76,9 86,5267 13,4733 31,7437 31,7475 68,2525 0,0120692 0,647182 0,143063 0,106899 0 0 0
adult 5 6 Global 45222 20295 88,9157 11,0843 64,4133 81,7541 18,2459 21,2109 0,682321 0,108788 0,0770244 0 0 0
australian 5 7 Global 690 504,4 95,8319 4,16815 54,9275 81,3305 18,6695 32,4638 0,0100953 0,0014429 0,000944 0 0 0
crx 5 6 Global 653 522,1 97,7245 2,2755 39,9694 87 13 54,0582 0,0097867 0,0013563 0,0008496 0 0 0
balance 5 4 Global 625 562,5 100 0 0 0 100 100 0,0048269 0,0005386 0,0001517 0 0 0
census 5 9 Global 142521 81163,6 98,8574 1,1426 48,1466 96,4685 3,53151 50,0909 5,73053 0,898542 0,820804 0 0 0
coil2000 5 2 Global 9822 7469,6 98,4044 1,23171 24,5978 91,7585 8,24155 73,1928 0,822909 0,102542 0,0951926 0 0 0
connect-4 5 0 Global 67557 60801,3 100 0 0 0 100 100 1,79279 0,256565 0,209949 0 0 0
covtype_2_vs_1 5 10 Global 495141 23437,3 82,6586 17,3414 85,5003 85,5039 14,4961 0,00424122 23,7869 2,76041 2,65545 0 0 0
fars_0_vs_4_ 5 5 Global 62123 39933,6 100 0 44,8497 100 0 55,1503 1,87022 0,274676 0,227892 0 0 0
german 5 3 Global 1000 898,4 100 0 0,6 100 0 99,4 0,0183722 0,0025154 0,0018696 0 0 0
magic 5 10 Global 19020 1897,3 81,3811 18,6189 83,2755 83,3368 16,6632 0,0736067 0,327586 0,0395574 0,0276571 0 0 0
thyroid 5 6 Global 7200 930,3 93,5734 6,42663 92,1667 93,4122 6,58784 1,33333 0,130081 0,0146268 0,0101215 0 0 0
vehicle 5 18 Global 846 709,4 96,2306 3,76937 52,3641 63,6494 36,3506 17,7305 0,109132 0,0181804 0,0176064 0 0 0
vowel 5 11 Global 990 642,5 97,1605 2,83951 91,9192 92,3858 7,61421 0,505051 0,0220783 0,0033157 0,0023576 0 0 0
segment 5 19 Global 2310 881,3 94,5909 5,40907 89,3074 92,0982 7,90179 3,0303 0,122342 0,0168978 0,0154808 0 0 0
winequality-red 5 11 Global 1599 751 74,5283 25,4717 52,9081 53,6802 46,3198 1,4384 0,0426111 0,0055325 0,0045679 0 0 0
winequality-white 5 11 Global 4898 1158,3 58,3963 41,6037 48,5913 48,7006 51,2994 0,224581 0,155351 0,0163833 0,0135329 0 0 0
spambase 5 57 Global 4597 1394,8 85,7967 14,2033 80,596 84,7826 15,2174 4,938 0,354767 0,0487757 0,0456141 0 0 0
penbased 5 16 Global 10992 7731,4 99,783 0,216962 94,0593 99,0041 0,995882 4,99454 0,342247 0,0731962 0,0636962 0 0 0
ring 5 20 Global 7400 5048 98,7512 1,24884 54,7027 79,3414 20,6586 31,0541 0,843121 0,162607 0,157686 0 0 0
twonorm 5 20 Global 7400 6655,2 99,9406 0,0593776 34,3649 91,0491 8,95095 62,2568 1,14162 0,247311 0,241869 0 0 0
satimage 5 36 Global 6435 2006,8 79,4509 20,5491 64,4289 64,8218 35,1782 0,606061 1,81328 0,184274 0,18014 0 0 0
texture 5 40 Global 5500 3658,1 97,8283 2,17172 87,5455 93,4045 6,59554 6,27273 1,7756 0,19326 0,189959 0 0 0
letter 5 16 Global 20000 7667,6 81,1763 18,8237 75,08 75,2418 24,7582 0,215 1,22345 0,160939 0,145727 0 0 0
