Database               Lab        #Cont        Global   #Ex            #Rules        #Train      #ErrorTrain  #Test      #TestWNC    #Error      %NC                  TrainTime      Nose           TestTime
=====================  parameter  experiment:  -nlabel       3         -LM             1         -IM           4         -Nit        -O          ./tresEtiquetas.csv  -saveFileRule  -saveFileRule  -saveFileRule
winequality-red        3          11           Global     1599.000000  219.700000     65.902290  34.097710    52.029874  52.095519   47.904481   0.125000             0.013458       0.000000       0.003004       0.000000  0.000000  0.000000
winequality-white      3          11           Global     4898.000000  260.900000     54.763859  45.236141    41.261425  41.286450   58.713550   0.061308             0.044226       0.000000       0.014864       0.000000  0.000000  0.000000
automobile             3          15           Global      159.000000  116.700000     98.184805  1.815195     44.231318  86.281746   13.718254   48.166048            0.002288       0.000000       0.002970       0.000000  0.000000  0.000000
sonar                  3          60           Global      208.000000  187.200000    100.000000  0.000000      2.880952  50.000000   50.000000   97.119048            0.007151       0.000000       0.009280       0.000000  0.000000  0.000000
texture                3          40           Global     5500.000000  1187.700000    71.638384  28.361616    77.381818  78.480631   21.519369   1.400000             0.113221       0.000000       0.124170       0.000000  0.000000  0.000000
texture                3          40           Global     5500.000000  1187.700000    71.638384  28.361616    77.381818  78.480631   21.519369   1.400000             0.128016       0.000000       0.129140       0.000000  0.000000  0.000000
=====================  parameter  experiment:  -nlabel       4         -LM             1         -IM           4         -Nit        -O          ./tresEtiquetas.csv  -saveFileRule  -saveFileRule  -saveFileRule
abalone                4          7            Global     4174.000000  125.700000     28.933069  71.066931    14.206338  14.218692   85.781308   0.071828             0.024830       0.000000       0.003908       0.000000  0.000000  0.000000
adult                  4          6            Global    45222.000000  17751.900000   89.384714  10.615286    65.649442  80.680693   19.319307   18.630311            0.385250       0.000000       0.044892       0.000000  0.000000  0.000000
australian             4          7            Global      690.000000  430.700000     95.056361  4.943639     64.057971  83.813517   16.186483   23.623188            0.004583       0.000000       0.000504       0.000000  0.000000  0.000000
automobile             4          15           Global      159.000000  122.000000    100.000000  0.000000     39.162249  90.722222   9.277778    56.444906            0.001962       0.000000       0.002958       0.000000  0.000000  0.000000
banana                 4          2            Global     5300.000000  13.800000      62.566038  37.433962    59.396226  59.396226   40.603774   0.000000             0.019675       0.000000       0.000686       0.000000  0.000000  0.000000
bands                  4          19           Global      365.000000  318.100000     99.269442  0.730558     41.066114  60.727657   39.272343   32.111246            0.003419       0.000000       0.005386       0.000000  0.000000  0.000000
bupa                   4          6            Global      345.000000  80.900000      70.853908  29.146092    58.024939  58.806723   41.193277   1.465438             0.002278       0.000000       0.000193       0.000000  0.000000  0.000000
census                 4          9            Global   142521.000000  77883.800000   99.143362  0.856638     48.904370  96.166656   3.833344    49.146444            3.400872       0.000000       0.457936       0.000000  0.000000  0.000000
cleveland              4          13           Global      297.000000  249.900000     98.728260  1.271740     25.929578  64.147172   35.852828   59.959161            0.002192       0.000000       0.000321       0.000000  0.000000  0.000000
coil2000               4          2            Global     9822.000000  7405.100000    98.719429  1.280571     24.312757  92.186448   7.813552    73.630683            0.556551       0.000000       0.064355       0.000000  0.000000  0.000000
covtype_2_vs_1         4          10           Global   495141.000000  13098.100000   80.399703  19.600297    81.692281  81.695579   18.304421   0.004039             12.868365      0.000000       1.878773       0.000000  0.000000  0.000000
crx                    4          6            Global      653.000000  481.400000     97.838612  2.161388     47.746249  85.026024   14.973976   43.807964            0.004703       0.000000       0.000544       0.000000  0.000000  0.000000
heart                  4          5            Global      270.000000  230.600000    100.000000  0.000000     30.740741  83.086580   16.913420   62.962963            0.002481       0.000000       0.000317       0.000000  0.000000  0.000000
iris                   4          4            Global      150.000000  26.000000      85.555556  14.444444    90.000000  90.000000   10.000000   0.000000             0.000946       0.000000       0.000053       0.000000  0.000000  0.000000
letter                 4          16           Global    20000.000000  6401.900000    83.578335  16.421665    71.635102  71.649322   28.350678   0.020008             0.220230       0.000000       0.134884       0.000000  0.000000  0.000000
magic                  4          10           Global    19020.000000  1214.500000    83.029560  16.970440    81.309148  81.321909   18.678091   0.015773             0.148975       0.000000       0.024692       0.000000  0.000000  0.000000
newthyroid             4          5            Global      215.000000  35.200000      95.297527  4.702473     92.597403  93.506494   6.493506    0.930736             0.001071       0.000000       0.000055       0.000000  0.000000  0.000000
mammographic           4          1            Global      830.000000  136.000000     87.376704  12.623296    77.242490  82.425754   17.574246   6.290925             0.004792       0.000000       0.000242       0.000000  0.000000  0.000000
page-blocks            4          10           Global     5472.000000  103.200000     93.161144  6.838856     92.891018  92.975686   7.024314    0.091374             0.045427       0.000000       0.003387       0.000000  0.000000  0.000000
penbased               4          16           Global    10992.000000  5939.400000    99.601732  0.398268     97.698135  98.859058   1.140942    1.173813             0.114383       0.000000       0.034209       0.000000  0.000000  0.000000
phoneme                4          5            Global     5404.000000  95.800000      80.960600  19.039400    78.755494  78.755494   21.244506   0.000000             0.027654       0.000000       0.001708       0.000000  0.000000  0.000000
pima                   4          8            Global      768.000000  282.200000     84.823321  15.176679    68.996004  69.997393   30.002607   1.435407             0.004872       0.000000       0.000491       0.000000  0.000000  0.000000
ring                   4          20           Global     7400.000000  6178.700000    99.506006  0.493994     64.013514  74.610287   25.389713   14.202703            0.094400       0.000000       0.155419       0.000000  0.000000  0.000000
saheart                4          8            Global      462.000000  265.500000     89.754866  10.245134    63.191489  64.597057   35.402943   2.169288             0.002963       0.000000       0.000370       0.000000  0.000000  0.000000
satimage               4          36           Global     6435.000000  622.900000     24.297675  75.702325    41.087991  41.974370   58.025630   2.113227             0.144302       0.000000       0.148597       0.000000  0.000000  0.000000
segment                4          19           Global     2310.000000  638.900000     96.873497  3.126503     90.000000  91.468066   8.531934    1.601732             0.025497       0.000000       0.008582       0.000000  0.000000  0.000000
shuttle                4          9            Global    57999.000000  45.300000      86.749963  13.250037    84.372145  84.377969   15.622031   0.006897             0.381493       0.000000       0.048988       0.000000  0.000000  0.000000
sonar                  4          60           Global      208.000000  187.200000    100.000000  0.000000      0.000000  0.000000    100.000000  100.000000           0.010228       0.000000       0.009992       0.000000  0.000000  0.000000
spambase               4          57           Global     4597.000000  833.800000     80.929594  19.070406    78.790660  80.561385   19.438615   2.196789             0.149618       0.000000       0.025941       0.000000  0.000000  0.000000
texture                4          40           Global     5500.000000  2626.100000    91.337374  8.662626     86.181818  88.718730   11.281270   2.854545             0.146469       0.000000       0.154175       0.000000  0.000000  0.000000
thyroid                4          6            Global     7200.000000  708.700000     93.720679  6.279321     92.305556  93.264408   6.735592    1.027778             0.079361       0.000000       0.007399       0.000000  0.000000  0.000000
twonorm                4          20           Global     7400.000000  6585.800000    99.962462  0.037538     82.689189  92.445878   7.554122    10.567568            0.093254       0.000000       0.156231       0.000000  0.000000  0.000000
vehicle                4          18           Global      846.000000  652.000000     96.663994  3.336006     59.593838  62.520740   37.479260   4.725490             0.010436       0.000000       0.013694       0.000000  0.000000  0.000000
vowel                  4          11           Global      990.000000  500.400000     94.231201  5.768799     86.060606  86.060606   13.939394   0.000000             0.008836       0.000000       0.001555       0.000000  0.000000  0.000000
winequality-red        4          11           Global     1599.000000  492.900000     75.436067  24.563933    56.408412  56.692331   43.307669   0.500393             0.014506       0.000000       0.003871       0.000000  0.000000  0.000000
winequality-white      4          11           Global     4898.000000  558.400000     59.793119  40.206881    47.448562  47.535102   52.464898   0.183840             0.042317       0.000000       0.012502       0.000000  0.000000  0.000000
=====================  parameter  experiment:  -nlabel       5         -LM             1         -IM           4         -Nit        -O          ./tresEtiquetas.csv  -saveFileRule  -saveFileRule  -saveFileRule
abalone                5          7            Global     4174.000000  122.700000     31.456634  68.543366    16.698278  16.717859   83.282141   0.119789             0.025910       0.000000       0.003856       0.000000  0.000000  0.000000
adult                  5          6            Global    45222.000000  19796.400000   90.154006  9.845994     63.318694  80.528600   19.471400   21.372358            0.431260       0.000000       0.055378       0.000000  0.000000  0.000000
australian             5          7            Global      690.000000  498.900000     96.988728  3.011272     54.637681  82.704011   17.295989   34.057971            0.006667       0.000000       0.000848       0.000000  0.000000  0.000000
automobile             5          15           Global      159.000000  124.300000    100.000000  0.000000     41.048578  95.904762   4.095238    56.982235            0.002266       0.000000       0.003039       0.000000  0.000000  0.000000
banana                 5          2            Global     5300.000000  19.600000      77.075472  22.924528    79.377358  79.392053   20.607947   0.018868             0.020223       0.000000       0.000620       0.000000  0.000000  0.000000
bands                  5          19           Global      365.000000  325.300000    100.000000  0.000000     16.297634  64.301587   35.698413   74.884481            0.004806       0.000000       0.009001       0.000000  0.000000  0.000000
bupa                   5          6            Global      345.000000  120.800000     76.843714  23.156286    55.660342  57.261730   42.738270   2.894009             0.002055       0.000000       0.000167       0.000000  0.000000  0.000000
