abalone&16.75&0.20&0.02&17.80&20.36\\
adult&67.10&1.55&0.10&18.02&81.85\\
australian&67.68&0.04&0.00&19.13&83.62\\
banana&80.36&0.05&0.00&0.00&80.36\\
bands&36.71&0.03&0.01&45.03&66.43\\
bupa&61.94&0.01&0.00&0.61&62.34\\
coil2000&24.30&0.94&0.09&73.63&92.15\\
crx&52.17&0.02&0.00&39.24&85.82\\
iris&95.33&0.00&0.00&0.00&95.33\\
letter&84.78&2.21&0.18&0.01&84.78\\
magic&81.69&0.89&0.05&0.02&81.70\\
newthyroid&92.55&0.00&0.00&0.48&93.01\\
mammogr&78.06&0.01&0.00&5.45&82.54\\
page-blocks&94.08&0.21&0.01&0.05&94.13\\
penbased&97.69&1.18&0.08&1.37&99.05\\
phoneme&78.72&0.14&0.00&0.00&78.72\\
pima&72.80&0.03&0.00&1.17&73.68\\
ring&65.99&0.80&0.22&12.41&75.32\\
saheart&66.45&0.03&0.00&1.52&67.44\\
satimage&66.70&0.78&0.24&0.08&66.75\\
segment&91.99&0.16&0.02&1.56&93.45\\
shuttle&85.47&2.67&0.11&0.01&85.48\\
spambase&85.25&0.63&0.06&2.02&87.01\\
texture&93.55&0.90&0.21&1.76&95.22\\
thyroid&92.46&0.42&0.02&0.93&93.33\\
twonorm&76.27&1.01&0.30&16.89&91.77\\
vehicle&62.06&0.10&0.02&4.03&64.66\\
vowel&96.26&0.09&0.00&0.00&96.26\\
wineq-red&62.73&0.09&0.01&0.56&63.09\\
wineq-white&54.80&0.28&0.04&0.12&54.87\\
Average&72.76&0.52&0.06&8.80&79.68\\
