=====================                                                                                                        parameter  experiment:  -nlabel  7              -LM           1           -IM          4          -Nit        -wCP                           -O         ./QckChi_result_7labels.csv
Database                                                                                                                     Lab        #Cont        Global   #Ex            #Rules        #Train      #ErrorTrain  #Test      #TestWNC    #Error                         %NC        TrainTime                    Nose      TestTime
thyroid                                                                                                                      7          6            Global   7200,000000    1161,500000   94,867284   5,132716     91,597222  93,745558   6,254442                       2,291667   1,376095                     0,000000  0,012894  0,000000  0,000000  0,000000
twonorm                                                                                                                      7          20           Global   7400,000000    6660,000000   100,000000  0,000000     0,256757   90,476190   9,523810                       99,716216  7,579011                     0,000000  0,316717  0,000000  0,000000  0,000000
vehicle                                                                                                                      7          18           Global   846,000000     753,400000    99,894930   0,105070     29,314421  71,469741   28,530259                      58,983452  0,129281                     0,000000  0,028125  0,000000  0,000000  0,000000
vowel                                                                                                                        7          11           Global   990,000000     748,400000    99,809203   0,190797     93,030303  96,845426   3,154574                       3,939394   0,160080                     0,000000  0,007380  0,000000  0,000000  0,000000
winequality-red                                                                                                              7          11           Global   1599,000000    951,000000    92,891390   7,108610     59,099437  62,171053   37,828947                      4,940588   0,364136                     0,000000  0,015118  0,000000  0,000000  0,000000
winequality-white                                                                                                            7          11           Global   4898,000000    1640,200000   80,558958   19,441042    55,287873  55,835052   44,164948                      0,979992   2,643661                     0,000000  0,036106  0,000000  0,000000  0,000000

=====================                                                                                                        parameter  experiment:  -nlabel  7              -LM           1           -IM          4          -Nit        -O,/QckChi_result_7labels,csv
Database                                                                                                                     Lab        #Cont        Global   #Ex            #Rules        #Train      #ErrorTrain  #Test      #TestWNC    #Error                         %NC        TrainTime                    Nose      TestTime
abalone                                                                                                                      7          7            Global   4174,000000    272,100000    35,271256   64,728744    18,830858  18,930636   81,069364                      0,527072   0,034729                     0,000000  0,005717  0,000000  0,000000  0,000000
adult                                                                                                                        7          6            Global   45222,000000   23543,900000  92,273672   7,726328     59,457786  80,759296   19,240704                      26,376542  0,607013                     0,000000  0,062266  0,000000  0,000000  0,000000
australian                                                                                                                   7          7            Global   690,000000     571,600000    98,808374   1,191626     44,347826  82,702703   17,297297                      46,376812  0,006745                     0,000000  0,001207  0,000000  0,000000  0,000000
